id,DEPARTAMENTO,MUNICIPIO_ID,CODIGO_DANE_MUNICIPIO,mpio,TITULO,CAPITULO,ARTICULO,AÑO_ACTUACION
1,RISARALDA,1,66001,PEREIRA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO PROPIO ART. 405 C.P.,2008
2,QUINDIO,1,63001,ARMENIA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PREVARICATO,PREVARICATO POR ACCION ART. 413 C.P.,2014
3,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA EL ORDEN ECONOMICO SOCIAL,DEL LAVADO DE ACTIVOS,LAVADO DE ACTIVOS ART. 323 C.P.,2017
4,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2015
5,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA EL ORDEN ECONOMICO SOCIAL,DEL LAVADO DE ACTIVOS,LAVADO DE ACTIVOS ART. 323 C.P.,2015
6,QUINDIO,190,63190,CIRCASIA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2010
7,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,CONTRATO SIN CUMPLIMIENTO DE REQUISITOS LEGALES ART. 410 C.P.,2014
8,RISARALDA,572,66572,PUEBLO RICO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2008
9,RISARALDA,456,66456,MISTRATO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2010
10,ANTIOQUIA,1,5001,MEDELLIN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2010
11,SANTANDER,81,68081,BARRANCABERMEJA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2013
12,QUINDIO,1,63001,ARMENIA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,CONTRATO SIN CUMPLIMIENTO DE REQUISITOS LEGALES ART. 410 C.P.,2011
13,SANTANDER,1,68001,BUCARAMANGA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2017
14,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2010
15,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2017
16,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PREVARICATO,PREVARICATO POR ACCION ART. 413 C.P.,2010
17,RISARALDA,1,66001,PEREIRA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL ENRIQUECIMIENTO ILICITO,ENRIQUECIMIENTO ILICITO ART. 412 C.P.,2009
18,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2010
19,ANTIOQUIA,1,5001,MEDELLIN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2010
20,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2009
21,BOYACA,296,15296,GAMEZA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2008
22,ANTIOQUIA,360,5360,ITAGUI,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2010
23,CALDAS,272,17272,FILADELFIA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,CONTRATO SIN CUMPLIMIENTO DE REQUISITOS LEGALES ART. 410 C.P.,2017
24,BOYACA,272,15272,FIRAVITOBA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PREVARICATO,PREVARICATO POR ACCION ART. 413 C.P.,2013
25,SANTANDER,81,68081,BARRANCABERMEJA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2009
26,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PREVARICATO,PREVARICATO POR ACCION ART. 413 C.P.,2015
27,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2012
28,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2013
29,ANTIOQUIA,380,5380,LA ESTRELLA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2008
30,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2012
31,SANTANDER,1,68001,BUCARAMANGA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,VIOLACION AL REGIMEN LEGAL O CONSTITUCIONAL DE INHABILIDADES E INCOMPATIBILIDADES ART. 408 C.P.,2015
32,CALDAS,541,17541,PENSILVANIA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2009
33,QUINDIO,212,63212,CORDOBA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2008
34,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2009
35,BOYACA,248,15248,EL ESPINO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2008
36,SANTANDER,679,68679,SAN GIL,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2011
37,SANTANDER,1,68001,BUCARAMANGA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2015
38,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2014
39,ANTIOQUIA,1,5001,MEDELLIN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2011
40,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2008
41,ANTIOQUIA,1,5001,MEDELLIN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2008
42,QUINDIO,1,63001,ARMENIA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,CONTRATO SIN CUMPLIMIENTO DE REQUISITOS LEGALES ART. 410 C.P.,2012
43,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2014
44,SANTANDER,1,68001,BUCARAMANGA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2015
45,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2013
46,BOYACA,776,15776,SUTAMARCHAN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2014
47,VALLE DEL CAUCA,111,76111,GUADALAJARA DE BUGA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2012
48,BOYACA,238,15238,DUITAMA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2014
49,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2008
50,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2009
51,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2009
52,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2011
53,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2008
54,ANTIOQUIA,1,5001,MEDELLIN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2009
55,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PREVARICATO,PREVARICATO POR ACCION ART. 413 C.P.,2013
56,SANTANDER,770,68770,SUAITA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2012
57,ANTIOQUIA,1,5001,MEDELLIN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2008
58,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO PROPIO ART. 405 C.P.,2014
59,ANTIOQUIA,88,5088,BELLO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2009
60,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2008
61,VALLE DEL CAUCA,1,76001,CALI,DELITOS CONTRA EL ORDEN ECONOMICO SOCIAL,DEL LAVADO DE ACTIVOS,LAVADO DE ACTIVOS ART. 323 C.P.,2012
62,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2011
63,SANTANDER,1,68001,BUCARAMANGA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2017
64,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2008
65,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2012
66,VALLE DEL CAUCA,1,76001,CALI,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2011
67,ANTIOQUIA,1,5001,MEDELLIN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO PROPIO ART. 405 C.P.,2011
68,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2015
69,RISARALDA,1,66001,PEREIRA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2014
70,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2011
71,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2013
72,VALLE DEL CAUCA,109,76109,BUENAVENTURA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2011
73,CALDAS,13,17013,AGUADAS,DELITOS CONTRA EL ORDEN ECONOMICO SOCIAL,DEL LAVADO DE ACTIVOS,ENRIQUECIMIENTO ILICITO DE PARTICULARES ART. 327 C.P. INFERIOR 100 SMLM,2009
74,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2013
75,BOYACA,693,15693,SANTA ROSA DE VITERBO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2011
76,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2011
77,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PREVARICATO,PREVARICATO POR ACCION ART. 413 C.P.,2011
78,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2013
79,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2015
80,VALLE DEL CAUCA,1,76001,CALI,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2010
81,SANTANDER,101,68101,BOLIVAR,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2008
82,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2009
83,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2009
84,QUINDIO,1,63001,ARMENIA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2009
85,ANTIOQUIA,1,5001,MEDELLIN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2008
86,ANTIOQUIA,266,5266,ENVIGADO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2016
87,VALLE DEL CAUCA,147,76147,CARTAGO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2017
88,SANTANDER,81,68081,BARRANCABERMEJA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2008
89,CUNDINAMARCA,745,25745,SIMIJACA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,CONTRATO SIN CUMPLIMIENTO DE REQUISITOS LEGALES ART. 410 C.P.,2013
90,RISARALDA,400,66400,LA VIRGINIA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2009
91,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2012
92,QUINDIO,594,63594,QUIMBAYA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2017
93,QUINDIO,1,63001,ARMENIA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2010
94,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2015
95,BOYACA,248,15248,EL ESPINO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2011
96,VALLE DEL CAUCA,111,76111,GUADALAJARA DE BUGA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2010
97,VALLE DEL CAUCA,1,76001,CALI,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2008
98,BOYACA,299,15299,GARAGOA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2008
99,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA EL ORDEN ECONOMICO SOCIAL,DEL LAVADO DE ACTIVOS,LAVADO DE ACTIVOS ART. 323 C.P.,2008
100,BOYACA,757,15757,SOCHA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2016
101,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,DE LA VIOLACION AL EJERCICIO DE MECANISMOS DE PARTICIPACION,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,2010
102,ANTIOQUIA,1,5001,MEDELLIN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2009
103,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2009
104,BOYACA,22,15022,ALMEIDA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2012
105,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO PROPIO ART. 405 C.P.,2008
106,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2009
107,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO IMPROPIO ART. 406 C.P.,2008
108,QUINDIO,690,63690,SALENTO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,VIOLACION AL REGIMEN LEGAL O CONSTITUCIONAL DE INHABILIDADES E INCOMPATIBILIDADES ART. 408 C.P.,2012
109,VALLE DEL CAUCA,111,76111,GUADALAJARA DE BUGA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2009
110,QUINDIO,1,63001,ARMENIA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PREVARICATO,PREVARICATO POR ACCION ART. 413 C.P.,2011
111,RISARALDA,1,66001,PEREIRA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2009
112,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2010
113,VALLE DEL CAUCA,1,76001,CALI,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2008
114,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2008
115,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2008
116,QUINDIO,1,63001,ARMENIA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,INTERES INDEBIDO EN LA CELEBRACION DE CONTRATOS ART. 409 C.P.,2014
117,VALLE DEL CAUCA,520,76520,PALMIRA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2008
118,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2017
119,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2008
120,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2015
121,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2008
122,BOYACA,238,15238,DUITAMA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2008
123,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2009
124,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2008
125,VALLE DEL CAUCA,1,76001,CALI,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2008
126,BOYACA,1,15001,TUNJA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2008
127,SANTANDER,1,68001,BUCARAMANGA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,CONTRATO SIN CUMPLIMIENTO DE REQUISITOS LEGALES ART. 410 C.P.,2009
128,RISARALDA,687,66687,SANTUARIO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PREVARICATO,PREVARICATO POR ACCION ART. 413 C.P.,2009
129,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO PROPIO ART. 405 C.P.,2011
130,VALLE DEL CAUCA,1,76001,CALI,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2008
131,BOYACA,299,15299,GARAGOA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2010
132,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,VIOLACION AL REGIMEN LEGAL O CONSTITUCIONAL DE INHABILIDADES E INCOMPATIBILIDADES ART. 408 C.P.,2014
133,VALLE DEL CAUCA,1,76001,CALI,DELITOS CONTRA EL ORDEN ECONOMICO SOCIAL,DEL LAVADO DE ACTIVOS,LAVADO DE ACTIVOS ART. 323 C.P.,2009
134,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2008
135,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2008
136,VALLE DEL CAUCA,1,76001,CALI,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2008
137,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,CONTRATO SIN CUMPLIMIENTO DE REQUISITOS LEGALES ART. 410 C.P.,2014
138,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2008
139,VALLE DEL CAUCA,1,76001,CALI,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2008
140,VALLE DEL CAUCA,1,76001,CALI,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2009
141,BOYACA,480,15480,MUZO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2016
142,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2016
143,BOYACA,299,15299,GARAGOA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2012
144,VALLE DEL CAUCA,1,76001,CALI,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2008
145,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2013
146,SANTANDER,1,68001,BUCARAMANGA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2017
147,BOYACA,1,15001,TUNJA,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,DE LA VIOLACION AL EJERCICIO DE MECANISMOS DE PARTICIPACION,VOTO FRAUDULENTO ART. 391 C.P,2013
148,SANTANDER,307,68307,GIRON,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,DE LA VIOLACION AL EJERCICIO DE MECANISMOS DE PARTICIPACION,VOTO FRAUDULENTO ART. 391 C.P,2008
149,SANTANDER,547,68547,PIEDECUESTA,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,DE LA VIOLACION AL EJERCICIO DE MECANISMOS DE PARTICIPACION,VOTO FRAUDULENTO ART. 391 C.P,2008
